Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
China;GDP From Construction;2003-12-31T00:00:00;7490.8;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2004-03-31T00:00:00;1239;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2004-06-30T00:00:00;3403.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2004-09-30T00:00:00;5802.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2004-12-31T00:00:00;8694.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2005-03-31T00:00:00;1447.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2005-06-30T00:00:00;4008;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2005-09-30T00:00:00;6772.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2005-12-30T00:00:00;10367.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2006-03-31T00:00:00;1747.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2006-06-30T00:00:00;4773.8;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2006-09-29T00:00:00;8064.4;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2006-12-29T00:00:00;12408.6;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2007-03-30T00:00:00;2160.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2007-06-29T00:00:00;5892.7;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2007-09-28T00:00:00;9903.3;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2007-12-31T00:00:00;15296.5;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2008-03-31T00:00:00;2690.4;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2008-06-30T00:00:00;7351.8;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2008-09-30T00:00:00;12233.1;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
China;GDP From Construction;2008-12-31T00:00:00;18743.2;Quarterly;CHINAGDPFROCON;2015-09-23T16:00:00
